Title	Author	Year	Callnum
Aplikasi teori sinyal pada e-commerce marketing channel: pengaruh persepsi kualitas website universitas terhadap persepsi kualitas pendidikan dan intensi pendaftyaran universitas 	Fanny Rofalina	2012	SK-1020
Audit keamanan teknologi informasi (TI) dengan menggunakan control objektive pada kerangka cobit 4.1: studi kasus Fakultas Ilmu Komputer (FASILKOM) Universitas Indonesia	Arnold Rafles Fansius	2012	SK-1085
Audit kelayakan data center dengan menggunakan standar ANSI/TIA-942 2005 pada aspek telekomunikasi dan mekanika: studi kasus pemerintah provinsi XYZ	Nurindro Danu Wicaksono	2012	SK-1001
Design dan implementasi dari RPG quest generator menggunakan konsep world state dan rule sebagai contraint dari cerita	Eduar Napoleon	2012	SK-1098
Deteksi dan pengenalan wajah jamak untuk studi awal sistem presensi otomatis	Mira Roderica	2012	SK-990
Identifikasi alat musik tradisional indonesia dengan memanfaatkan fitur mel-frequnecy cepstral coefficients (MFCC) pada musik poliponik	Chairunissa Atimas Nurahmad	2012	SK-999
Identifikasi knowledge management governance serta analisis tingkat kematangan manajemen pengetahuan:  studi kasus pada PT. Federal International Finance	Fathiya Achmad	2012	SK-1025
Identifikasi manusia berdasarkan profil DNA orangtua dan saudara kandung menggunakan sistem inferensi fuzzy	Tirmidzi Faizal Aflahi	2012	SK-995
Identifikasi penyanyi pada musik polifonik	Kenanya Gusti Markarya	2012	SK-1078
Identifikasi tingkat keamanan sistem electronic voting dengan menggunakan model electronic voting system security optimization: studi kasus lembaga XYZ	Ratih Malini	2012	SK-1090
Implementasi algoritma CART dengan teknik classification tree sebagai bagian dari data mining algorithm collectino	Aldrian Yudhistira	2012	SK-1074
Implementasi algoritma adaboost untuk peningkatan akurasi prediksi model dengan menggunakan algoritma C4.5 sebagai weak leaner	Tio  Pramayudi	2012	SK-1065
Implementasi algoritma collaborative filtering pada sistem rekomendasi di forum diskusi	Megawati	2012	SK-1087
Implementasi algoritma pemrosesan gambar dan GLVQ pada parrot AR.DRONE untuk menjejaki sebuah objek di lantai mengunakan kamera bawah	M. Nanda Kurniawan	2012	SK-1072
Implementasi algoritma position by line dengan sink localization pada robot Al-Fath untuk perluasan jaringan telekomunikasi di daerah bencana	M. Sakti Alvissalim	2012	SK-1007
Implementasi antar muka aplikasi data mining algorith collection dan modul prepocessing data	Yogi Kurnia	2012	SK-1058
Implementasi business intelligence sebagai alat monitoring proses bisnis dan bahan analisis dalam pengambilan keputusan strategis: studi kasus pusat resi gudang PT. Kliring Berjangka Indonesia	Aprilianto	2012	SK-1026
Implementasi contextual advertising menggunakan teknik vector space model dan latent semantic analysis	Istha Bena Hadirani	2012	SK-1093
Implementasi debugging tool pada behavior tree	Agung Pratama	2012	SK-1059
Implementasi generalized hough transform dengan edge points pairing pada graphics processing unit	Affath Firdausi	2012	SK-1097
Implementasi media sharing pada perangkat  bersistem operasi android dalam jaringan local berbasis UPNP	Bukhori Muhammad Aqid	2012	SK-1070
Implementasi monitoring indicator kinerja utama dengan pemanfaatan business intelligence: studi kasus Lembaga Kebijakan Pengadaan barang/jasa Pemerintah	Anastasia Octaviana Khrisna Dewi	2012	SK-1049
Implementasi pencarian pola sekuensial menggunakan algoritma generalized sequential pattern	Juliana Anita Galag	2012	SK-1057
Implementasi sponsored search menggunakan teknik BID PHRASE clustering	Yasmin Khairina	2012	SK-1068
Kajian manajemen risiko proyek dengan menggunakan kerangka kerja RASM: Studi Kasus Bank Indonesia	Lukman Satria	2012	SK-1028
Klasifikasi motif batik menggunakan metode scale invariant feature transform	Rina Akta	2012	SK-1073
Komparasi peningkatan mutu citra dokumen tua dengan metode a-rooting dan thresholding	Meliani Efelina Napitupulu	2012	SK-1024
Mendeteksi plagiarisme eksternal pada teks dengan deret interval sah	Lasguido	2012	SK-1019
Mengukur tingkat  severity, vulnerability, risk, trust, dan privacy pada penerapan keamanan sistem informasi : studi kasus PT XYZ	Anniesa Marshadiany	2012	SK-1034
Mesin penerjemah statistik dua arah untuk bahasa indonesia dan bahasa mandarin menggunakan dictionary-based lookup dan model penerjemahan berfaktor	Steffi Melinda	2012	SK-1005
Modifikasi tuxcut untuk mengatasi penyalahgunaan bandwidth dengan teknik ARP spoofing	Ahmad ALmaarif	2012	SK-1067
Pembentukan behavior tree dari representasi semantic software requirement dalam SOU-KIF	Adani Aristy	2012	SK-1061
Pembentukan multiresolution mesh untuk objek 3D dengan menggunakan 	Mega Denditya M.	2012	SK-1011
Pemetaan dan pengukuran kinerja dari fungsionalitas service automation pada unit customer service perusahaan telekomunikasi studi kasus: PT IndosatM2	Ryan Pradipta Putra	2012	SK-1048
Pencocokan citra panorama yang ditajamkan menggunakan metode lailin	Topan Bayu Kusuma	2012	SK-994
Pendekatan komputasi kuantum dalam penyelesaian sistem persamaan linear	Ikhsanul Habibie	2012	SK-1086
Pendekatan teknik Bag of features dengan kernel dimension education pada permasalahan klasifikasi citra	Silvia Winatan	2012	SK-997
Pendeteksian vesikel dalam citra fluorescence microscopy dengan metode adaboots dan fisher discriminant analysis	Shieron Antolis	2012	SK-1124
